P-521,hqc256,p521_hqc256
1620.72,2102.84,2519.22
822.28,2679.73,1313.73
821.5,2064.32,1310.69
821.39,5154.34,1715.31
821.94,2168.62,1671.61
1728.47,1322.53,5208.35
825.69,1696.74,2687.38
1327.9,1296.42,3247.57
827.62,1699.88,2127.1
823.85,1297.55,1676.56
1218.99,1659.88,1317.23
832.05,4041.96,1712.73
1614.97,1299.3,4069.09
822.5,1298.64,1314.86
1218.29,1657.1,5394.43
2272.35,2672.63,1309.88
1220.62,3513.52,1669.26
3255.3,1670.85,2687.73
1620.14,6201.13,2074.97
4925.36,1661.51,1331.11
1216.58,1308.26,1669.91
1322.55,2680.77,1314.58
2984.75,1299.47,1673.63
823.24,1293.84,2582.76
823.4,3341.18,3870.48
825.84,2061.55,1737.92
1216.71,3076.23,2074.55
2123.31,2174.07,1315.83
826.69,2101.94,1711.42
1618.1,2099.42,1715.63
828.33,1295.73,7079.05
1225.53,1301.87,1340.32
2232.73,1298.2,4168.35
1619.29,1703.41,1669.18
1227.28,1299.14,5304.65
824.9,1322.5,2179.96
828.85,3482.09,1714.31
823.46,1297.82,1312.58
2262.75,1701.75,1735.13
1219.06,1700.92,1711.21
829.56,1297.9,3529.78
1322.98,2569.24,3361.02
820.92,2668.76,1675.33
826.63,1318.43,1746.2
2258.97,3229.83,3521.54
3482.78,1300.83,1683.86
3036.47,2564.51,1717.76
821.06,1771.24,1669.71
822.8,1666.08,1674.83
1220.58,1702.12,1720.44
2436.96,1723.65,2068.85
1220.22,1697.56,1682.14
815.5,1295.63,1753.68
5288.77,3313.54,2074.81
821.99,1312.93,1325.66
820.35,1295.63,1314.41
1219.16,1295.54,5123.33
823.5,1298.94,1778.3
1328.83,1725.84,1725.22
820.32,1296.94,2073.97
1728.41,2717.82,2080.19
820.99,1297.69,1739.66
1229.94,2098.66,3910.47
1218.99,1694.57,1720.01
1220.71,1323.47,3491.38
826.59,2347.21,1347.88
1217.55,1700.57,1312.27
827.59,2459.63,3084.74
826.01,1662.68,1675.82
822.47,4806.37,1674.34
822.48,4488.03,1312.03
1220.09,3951.63,1333.44
2133.66,1293.55,1673.77
1222.16,2167.55,1746.44
821.65,1298.22,2474.28
2272.45,2692.41,1318.96
817.56,1325.85,1715.86
3704.65,1301.74,2074.76
825.01,2718.0,1717.15
1219.39,1700.92,1314.4
1225.64,2562.73,3337.71
3035.69,4408.44,1310.96
820.34,1295.0,1714.28
2268.78,1699.39,3730.99
1323.75,3490.84,2070.82
819.85,1697.42,1727.65
1219.08,1298.36,2072.72
1326.1,3904.09,2077.56
1221.72,1700.32,2188.7
823.58,1700.53,1348.81
821.75,1700.11,1311.35
1233.84,1699.92,1309.91
820.5,3195.97,1715.73
826.42,1304.9,1673.82
1220.93,3114.87,1325.21
1221.67,1299.8,2074.14
2019.72,3483.35,1717.79
3168.55,3181.91,1309.37
821.18,1705.52,2074.71
1226.04,1290.01,1317.31
822.78,1657.83,1335.51
822.51,7179.1,1718.88
827.95,1700.84,1673.9
819.85,3869.7,2711.28
823.29,2705.47,1343.84
821.9,1299.81,1316.15
1323.44,1295.21,3955.03
829.39,1661.21,1346.29
1323.73,2073.43,1716.28
827.89,3726.36,1311.95
1218.49,1657.02,2348.97
1728.0,1302.71,1717.4
825.25,1323.54,3890.71
2458.11,2084.75,5335.08
1214.49,1663.16,1675.44
822.22,1295.93,1729.96
1332.17,2569.53,1670.6
1616.84,1724.01,3523.19
4248.87,1298.58,1717.39
3049.71,1697.23,2069.4
1325.33,1694.1,1314.07
1220.85,2191.21,2072.28
1729.7,1305.66,1681.94
823.81,1691.45,1339.2
2840.8,1696.67,1311.97
2273.12,1698.74,1715.27
819.74,1696.23,1672.46
824.75,1303.99,1715.02
823.25,1661.93,1714.91
821.35,5410.67,3763.74
2224.54,1652.91,1335.21
2992.73,2063.09,1311.73
822.49,1701.14,2720.85
1622.64,2060.34,3511.79
2022.71,2174.56,1676.38
5418.71,3241.63,1718.27
2272.4,1727.21,1337.43
821.67,2162.57,2701.54
5316.63,1297.72,2737.61
1219.42,1317.05,1339.35
6678.43,1299.88,3115.2
1224.51,6210.66,1716.82
822.59,2062.35,2072.47
821.3,2072.07,1325.89
2134.89,1299.69,1314.83
820.14,1696.61,2582.25
1219.13,1294.05,1315.08
1228.34,1657.2,1716.33
1323.17,1305.33,1672.03
1723.79,1697.97,2682.4
1219.15,1696.42,1717.1
2280.92,2099.16,3250.5
823.79,3600.15,2075.43
823.23,2467.52,2481.13
824.77,1698.63,2075.73
1230.25,2330.27,1680.18
824.81,1348.38,1313.77
1730.06,1659.96,2143.99
3066.35,1296.04,1338.89
2134.26,4317.0,1712.95
3078.61,1702.41,1311.83
828.64,2164.92,2071.25
818.0,5704.56,1716.57
823.24,3770.71,2071.36
3039.93,1699.58,2690.16
5284.08,1297.39,1315.23
1219.44,1291.26,1338.0
822.28,1658.84,1739.24
827.72,1697.63,1312.54
2860.69,3199.34,1671.49
1218.95,1298.86,1717.49
822.22,1296.44,1310.05
821.25,1296.43,2587.39
1218.83,2170.48,1746.29
2223.93,2463.53,1671.51
822.49,7724.65,3202.97
816.75,1302.74,1720.89
1215.37,3073.02,1713.67
2220.91,2674.3,1314.16
824.28,2103.55,1310.85
1616.37,1698.56,1717.76
829.03,1658.67,1671.22
1216.04,1735.6,1719.62
2889.74,1300.61,1713.69
1214.61,1298.8,2072.59
1210.75,1316.29,1335.15
824.28,1293.24,1310.09
1214.8,1310.42,1312.67
819.13,1297.29,4685.69
828.97,1698.5,2980.95
820.4,1291.71,1720.76
1216.14,2864.16,1313.05
2280.37,1299.89,2075.3
1215.07,2661.53,5522.92
1216.42,1295.93,2321.11
1217.99,1699.11,1668.8
820.62,1659.12,5946.31
825.93,3074.1,1670.3
1221.52,1298.82,2126.1
819.83,2460.53,1315.27
822.28,1318.35,1673.92
828.95,1296.0,3733.45
1722.78,1695.66,1717.02
2256.12,2100.05,1311.56
2481.35,2683.48,1691.95
822.05,3902.2,1673.5
1224.64,1294.79,1684.68
819.27,1296.37,1716.25
1221.88,1698.8,1714.79
819.51,2058.88,1670.47
1821.77,1703.01,1316.53
1725.54,1297.22,2086.08
1214.73,2947.86,1329.15
824.38,3336.7,3334.43
1318.48,1293.71,1670.32
828.98,1296.46,3503.63
5040.8,1721.55,1716.92
2224.44,1297.65,1310.87
819.35,3909.63,1315.59
1616.91,2949.72,2072.59
825.03,1300.54,2735.44
3441.04,2170.14,1674.11
2845.35,2467.2,7044.02
819.58,1299.82,3933.76
818.52,6164.06,5653.73
1219.79,2162.76,1354.21
1715.88,1298.53,1715.52
4543.42,5165.49,1311.36
825.02,1297.31,3745.27
1614.9,1698.13,1313.04
1212.57,2058.9,1312.91
820.26,1299.42,1315.82
821.02,3343.58,2761.29
818.61,2167.35,1718.16
832.61,2311.08,2078.44
821.09,2498.17,1712.74
824.85,1696.99,2701.53
2123.79,1698.63,1363.35
3025.17,5600.6,2712.4
3494.69,1297.34,1310.7
820.42,1297.58,1779.18
1723.19,1702.83,1310.54
2470.77,2102.61,2474.69
1220.16,1299.04,2070.31
2276.01,1297.76,1684.65
1618.22,3873.39,1680.69
819.79,1324.19,3316.68
830.62,3535.21,2332.55
823.06,1701.32,1308.74
1215.9,1320.53,1673.5
822.16,1321.34,1727.48
820.61,1681.78,2916.21
1214.34,3100.86,2073.97
824.1,3907.8,1323.72
1224.91,1656.11,1314.04
821.5,2170.49,3358.76
1319.58,2579.37,3723.0
819.51,1297.86,2091.18
3822.78,2303.51,1722.75
1225.33,2682.65,4388.47
1220.91,1293.31,1340.9
1621.42,1295.26,1319.59
815.82,2100.94,2118.72
824.15,1297.44,1671.63
821.47,1316.77,1708.8
2225.86,1695.58,1315.99
1215.63,1296.84,1329.66
3151.24,2678.57,1713.71
821.47,1703.21,1306.62
1213.58,2920.68,2073.91
3065.26,1696.46,1672.46
1216.14,1295.72,1719.48
1215.77,1696.05,1671.63
1614.32,1659.76,2192.39
819.8,1299.69,1720.45
824.69,1658.18,2318.19
1323.91,1707.82,1312.31
3058.97,1298.28,1713.66
1324.92,1298.39,1715.21
1217.14,2165.37,1708.29
1216.79,1325.52,1716.78
1216.62,1291.3,1314.15
3031.34,2064.06,1713.35
2845.58,7061.08,1309.66
3065.29,1297.59,1313.19
1221.2,1297.05,2728.44
824.33,1293.29,1744.71
820.65,3548.99,1674.18
3026.08,1297.22,2078.1
2530.93,2078.66,1716.42
820.75,1299.15,3411.61
2016.81,1296.33,1674.66
821.08,1657.77,1731.44
1216.06,3069.12,1669.95
825.34,1723.35,3515.17
1214.27,1294.02,1313.32
1216.29,1293.65,1671.11
820.4,2056.99,1675.6
819.74,2669.14,1314.09
825.24,1298.95,1313.36
1217.0,1292.7,1709.93
819.73,2565.18,1311.76
819.12,1298.16,1310.22
820.78,1295.18,2722.53
1617.16,2454.21,1715.12
14949.97,3472.81,2097.46
1215.93,2064.89,1312.79
832.47,1294.96,1713.9
1216.42,1305.82,1313.14
1216.29,1295.46,1742.11
820.78,1295.3,3882.2
824.65,1295.18,1673.43
826.72,1304.1,1317.6
828.3,1298.72,2114.34
823.68,1700.63,1310.32
826.47,2865.93,2118.5
3042.32,1298.16,1717.48
820.34,1295.3,2175.19
818.75,1693.35,3048.61
820.28,1293.27,2991.67
1217.79,1323.92,1729.05
819.16,2916.43,4402.96
2267.51,1325.58,1318.68
1216.42,1323.86,2075.51
2419.03,2464.13,2477.98
820.89,1349.34,2117.31
820.36,4799.79,1716.48
820.17,2716.42,1673.48
820.47,1695.92,1700.9
2525.09,1298.49,2674.23
828.17,1721.66,1326.24
4565.37,5735.04,1314.13
1217.66,1302.5,2719.66
1226.49,3454.12,1704.46
1219.18,1297.75,1714.06
1720.69,1699.26,2539.68
1215.89,3291.75,1315.56
1614.67,1323.39,1716.48
824.39,1697.39,3499.93
814.61,1698.85,2887.99
824.14,2122.28,1675.73
821.06,1706.3,1322.38
825.32,2065.03,1314.33
820.54,2075.08,1314.49
1319.69,1702.94,1344.33
2220.3,3333.01,1670.76
1216.03,1657.09,4307.37
815.65,1300.37,1317.09
1722.11,1324.04,1311.89
824.72,1699.3,1718.77
819.89,1296.72,2988.71
1332.19,2060.78,2676.93
820.66,3223.48,1315.35
822.61,3479.8,1311.2
4552.69,1706.42,1338.62
2121.85,1659.88,1712.47
1616.56,1699.54,1672.18
818.88,1296.1,1312.8
817.92,2084.78,1714.33
824.75,1696.62,1705.85
817.2,5080.2,3123.82
2250.28,3945.85,1717.31
1216.35,1295.56,1309.49
824.71,1657.57,1315.93
3050.2,2951.53,1337.51
819.71,1297.15,1714.48
1726.29,2171.24,1672.53
1615.29,2058.86,7097.14
1215.38,1299.42,1780.05
820.69,3208.56,1718.17
828.23,8900.64,1738.12
819.6,1700.67,1714.87
1221.82,1693.44,4005.56
2254.77,2681.96,1720.14
3067.84,1299.04,1761.95
1224.25,2708.84,3206.34
1726.21,1294.37,3518.42
824.4,1658.88,1714.63
817.41,1313.38,2072.61
824.7,2063.7,1741.84
821.15,1309.08,5231.19
2874.94,2690.92,3731.69
821.31,2981.51,1314.88
816.4,1291.23,1672.91
3058.67,1695.55,1728.3
1216.58,1300.44,1715.01
1620.38,1299.93,1320.24
1225.86,1698.15,2587.25
822.12,2058.84,1745.11
1230.4,1298.7,2316.14
2024.72,3891.09,1315.29
828.59,1297.93,1718.21
2879.59,1720.62,2075.8
812.06,1659.02,1326.56
1734.91,1298.29,1712.07
1221.63,3494.16,2120.17
1216.05,5905.2,3207.96
1325.13,2059.55,2069.97
823.85,2167.99,1341.97
1226.12,1722.27,1313.5
1326.95,1315.18,5094.68
821.98,1696.46,1716.53
1215.65,1699.02,2176.59
1218.66,3103.32,1675.8
1728.75,1293.76,4131.8
1220.57,3077.29,1714.63
823.98,1297.71,1313.48
3439.97,2163.19,3747.37
1620.58,1698.02,2739.51
1620.74,1294.86,1308.79
1323.05,1298.76,5707.71
1219.57,3476.26,1312.03
833.45,3907.73,1313.63
1623.12,2178.99,3760.48
1321.34,2168.0,1719.82
826.35,5921.3,1311.89
825.49,1296.99,3124.79
1217.45,1697.59,2121.57
821.47,1317.82,2072.59
821.66,2170.27,2182.03
823.02,1725.24,1720.17
2852.62,1655.2,1709.38
827.1,1701.36,1313.41
816.6,1298.13,2128.22
822.96,1697.27,2178.96
819.51,1682.31,2716.41
815.7,3509.6,1721.63
1222.49,1661.92,1672.1
823.36,3321.14,1675.08
1214.23,1703.71,2878.27
1326.67,1299.22,2674.48
2848.09,2062.01,1312.76
820.68,1725.57,4278.5
820.73,1656.33,2320.75
825.8,2063.44,2735.63
1725.76,1660.28,2185.4
6820.07,1731.38,1726.13
820.18,2104.65,1671.34
1619.66,2059.09,1328.24
823.51,1682.79,1672.75
821.87,1300.4,11166.85
1218.44,1699.9,1724.31
1726.37,1699.06,1672.13
815.24,3673.66,1727.42
1227.0,2062.44,4334.22
1325.02,2679.79,2478.22
2271.57,1712.76,1312.41
1619.59,1699.94,1668.2
2454.28,1659.0,1315.39
1323.24,1325.75,3359.7
1217.45,1319.8,2115.5
3071.06,1661.93,1313.63
2265.96,3338.86,1314.32
1225.2,1709.51,1716.6
1719.83,1297.68,1311.98
824.5,1297.39,3886.34
826.84,2060.41,5924.4
824.76,1766.24,2178.98
824.28,1699.55,2071.44
1220.33,1298.16,1313.56
822.05,2062.39,1715.55
1215.67,2062.72,1672.42
1730.97,1299.25,2728.17
822.03,1696.96,1715.39
3028.06,1659.52,1705.65
1223.56,1314.46,1319.34
822.52,1687.73,1341.5
1726.85,3616.31,1719.97
821.72,1701.83,2519.27
826.46,1296.17,1311.95
3834.08,5088.59,1674.96
1730.63,1296.98,3364.95
820.31,1701.01,2579.68
3067.91,1298.01,3096.31
1219.09,1698.73,2182.29
1326.6,3153.26,1313.6
826.29,2172.93,1304.17
1218.52,1659.72,1340.56
2828.27,1296.54,1314.89
2995.44,1696.88,1313.3
826.01,1659.79,1740.42
2264.47,1710.44,3313.67
3080.39,1298.94,1314.98
1220.44,1296.21,6003.12
824.38,1295.49,1320.52
1225.91,2461.25,1310.03
1215.46,1704.42,3351.54
822.85,1297.81,1712.71
823.32,2060.67,5856.73
3440.77,1307.66,3898.8
819.99,1290.6,2990.5
823.06,1294.19,1317.59
3035.79,2462.45,1716.41
825.88,2724.68,5176.94
823.83,2103.24,1345.18
1727.94,1325.33,2475.93
1326.91,1297.16,3870.52
1223.1,4688.96,1330.22
820.9,1301.0,3124.54
2480.57,1660.8,2739.78
